trip_id,pickup_location,drop_location,trip_status,vehicle_type,driver_rating,promo_code_used,wait_time_before_pickup,distance_travelled,fare_amount,passenger_rating,total_passenger,payment_method,duration_time,date,customer_id,passenger_type
TRIP100069,Dhanmondi,Motijheel,Completed,Car,4.7,Yes,6,24.09,995.18,3.8,3,Mobile Payment,34,2024-02-11,CUST1508,Repeated
TRIP100070,Mirpur,Bashundhara,Completed,Microbus,3.1,Yes,15,6.47,420.93,3.7,1,Cash,41,2024-02-02,CUST1105,Repeated
TRIP100071,Motijheel,Uttara,Completed,Bike,3.9,No,14,3.75,105.12,3.2,1,Mobile Payment,9,2024-06-05,CUST1025,Repeated
TRIP100072,Dhanmondi,Uttara,Completed,CNG,5.0,Yes,17,7.82,632.55,4.4,2,Cash,88,2024-04-30,CUST1314,Repeated
TRIP100073,Banani,Bashundhara,Completed,Bike,4.8,Yes,15,2.58,586.75,3.7,2,Cash,69,2024-05-01,CUST1108,Repeated
TRIP100074,Mohammadpur,Gulshan,Completed,Bike,4.6,No,18,9.08,333.43,3.5,1,Mobile Payment,54,2024-06-15,CUST1460,Repeated
TRIP100075,Farmgate,Mirpur,Completed,Car,3.1,No,12,3.21,337.02,3.5,1,Mobile Payment,16,2024-01-21,CUST1422,Repeated
TRIP100076,Farmgate,Dhanmondi,Cancelled,CNG,4.2,No,6,24.13,129.06,3.9,1,Card,81,2024-04-28,CUST1605,Repeated
TRIP100077,Bashundhara,Mirpur,Completed,Car,4.9,No,5,15.01,248.1,4.2,1,Card,80,2024-06-01,CUST1608,Repeated
TRIP100078,Farmgate,Banani,Completed,Microbus,4.5,Yes,14,3.51,67.8,4.8,1,Cash,66,2024-06-09,CUST1275,Repeated
TRIP100079,Banani,Dhanmondi,Completed,Car,3.1,No,7,21.81,964.89,3.6,1,Card,25,2024-06-22,CUST1032,Repeated
TRIP100080,Mohammadpur,Mohammadpur,No-show,CNG,3.8,Yes,12,14.52,477.71,3.3,3,Mobile Payment,86,2024-02-20,CUST1610,Repeated
TRIP100081,Motijheel,Dhanmondi,Cancelled,Bike,3.8,No,19,21.44,555.53,4.8,2,Cash,78,2024-05-22,CUST1257,Repeated
TRIP100082,Farmgate,Dhanmondi,Completed,Bike,4.2,Yes,9,6.6,666.36,3.4,4,Cash,12,2024-06-30,CUST1631,Repeated
TRIP100083,Mohammadpur,Bashundhara,Completed,Bike,4.3,No,16,15.81,53.24,4.3,2,Mobile Payment,78,2024-05-25,CUST1463,New
TRIP100084,Mirpur,Dhanmondi,No-show,Microbus,3.5,Yes,5,3.93,472.77,4.5,1,Mobile Payment,79,2024-02-06,CUST1364,New
TRIP100085,Mirpur,Dhanmondi,Cancelled,CNG,4.3,No,14,3.12,100.88,4.5,1,Mobile Payment,72,2024-06-09,CUST1216,Repeated
TRIP100086,Motijheel,Bashundhara,Completed,CNG,3.9,No,10,19.44,738.77,4.3,3,Mobile Payment,61,2024-02-13,CUST1565,Repeated
TRIP100087,Dhanmondi,Gulshan,Completed,Microbus,5.0,Yes,2,23.29,87.32,4.4,1,Card,32,2024-06-25,CUST1083,Repeated
TRIP100088,Dhanmondi,Mohammadpur,Completed,CNG,4.7,No,11,20.28,655.62,3.6,1,Mobile Payment,67,2024-01-06,CUST1329,Repeated
TRIP100089,Mohammadpur,Mohammadpur,No-show,Car,3.9,Yes,15,6.49,995.51,4.7,1,Mobile Payment,30,2024-02-11,CUST1602,Repeated
TRIP100090,Farmgate,Uttara,Completed,Car,3.2,No,1,13.61,455.27,4.9,3,Cash,57,2024-01-07,CUST1485,New
TRIP100091,Mohammadpur,Motijheel,Completed,Microbus,4.4,Yes,12,4.95,446.82,4.7,1,Cash,45,2024-02-09,CUST1254,Repeated
TRIP100092,Farmgate,Motijheel,Completed,Car,3.7,No,7,10.95,749.11,4.5,1,Card,5,2024-06-04,CUST1277,Repeated
TRIP100093,Mirpur,Mohammadpur,No-show,Car,3.7,Yes,5,8.88,908.74,4.9,1,Card,61,2024-03-26,CUST1094,Repeated
TRIP100094,Motijheel,Mirpur,Completed,Microbus,3.7,No,5,9.36,448.9,4.5,4,Cash,53,2024-06-06,CUST1533,Repeated
TRIP100095,Farmgate,Farmgate,Completed,CNG,4.4,No,3,16.6,810.08,4.5,2,Mobile Payment,49,2024-03-31,CUST1263,Repeated
TRIP100096,Dhanmondi,Bashundhara,Completed,CNG,3.8,No,17,9.55,86.39,4.0,2,Card,70,2024-01-24,CUST1282,Repeated
TRIP100097,Mirpur,Mirpur,Completed,Microbus,4.1,No,17,3.08,140.56,3.9,1,Mobile Payment,59,2024-02-27,CUST1119,Repeated
TRIP100098,Mirpur,Bashundhara,Cancelled,Microbus,3.3,No,7,24.16,76.13,3.8,1,Cash,56,2024-04-12,CUST1358,Repeated
TRIP100099,Dhanmondi,Mirpur,Completed,CNG,3.8,Yes,14,16.6,695.22,3.7,1,Cash,68,2024-01-20,CUST1612,Repeated
TRIP100100,Farmgate,Motijheel,Completed,Microbus,3.7,No,16,22.53,768.9,3.0,3,Card,45,2024-06-11,CUST1035,Repeated
TRIP100101,Gulshan,Mohammadpur,Completed,Bike,4.8,No,6,18.47,372.57,4.6,1,Cash,74,2024-05-17,CUST1561,Repeated
TRIP100102,Motijheel,Farmgate,Cancelled,Microbus,4.4,No,11,8.56,91.12,3.9,1,Cash,41,2024-02-24,CUST1076,Repeated
TRIP100103,Gulshan,Bashundhara,Completed,CNG,3.7,No,10,2.03,172.82,4.4,1,Cash,43,2024-02-25,CUST1194,Repeated
TRIP100104,Motijheel,Banani,Completed,Car,3.5,No,12,1.48,318.77,4.5,1,Cash,76,2024-01-19,CUST1637,New
TRIP100105,Dhanmondi,Banani,Completed,CNG,3.3,No,14,8.42,894.47,3.6,1,Card,6,2024-01-22,CUST1049,Repeated
TRIP100106,Farmgate,Gulshan,Completed,CNG,3.3,Yes,10,17.51,821.3,3.9,4,Cash,29,2024-04-02,CUST1169,Repeated
TRIP100107,Mohammadpur,Dhanmondi,Completed,Microbus,3.1,No,13,20.29,737.44,4.9,2,Cash,38,2024-05-23,CUST1414,Repeated
TRIP100108,Banani,Motijheel,Completed,Microbus,4.1,Yes,18,8.29,170.86,3.1,4,Mobile Payment,10,2024-02-07,CUST1541,New
TRIP100109,Mirpur,Dhanmondi,Completed,Microbus,4.3,No,14,11.64,991.34,3.9,1,Mobile Payment,72,2024-06-13,CUST1285,New
TRIP100110,Farmgate,Motijheel,Completed,CNG,3.2,No,1,9.9,268.84,4.5,1,Mobile Payment,76,2024-01-27,CUST1431,Repeated
TRIP100111,Mohammadpur,Bashundhara,Completed,CNG,4.3,No,6,11.61,453.94,4.3,3,Card,15,2024-06-17,CUST1626,Repeated
TRIP100112,Mirpur,Banani,Cancelled,Car,4.8,Yes,7,2.47,822.6,3.1,2,Mobile Payment,36,2024-02-29,CUST1585,Repeated
TRIP100113,Mohammadpur,Mirpur,Completed,Car,4.8,No,11,17.09,262.27,4.0,2,Mobile Payment,26,2024-03-18,CUST1193,New
TRIP100114,Motijheel,Bashundhara,Completed,Microbus,3.2,Yes,4,23.62,484.07,3.6,1,Mobile Payment,33,2024-01-31,CUST1690,Repeated
TRIP100115,Bashundhara,Bashundhara,Completed,Microbus,4.5,No,14,19.85,710.49,3.4,1,Card,6,2024-05-11,CUST1223,Repeated
TRIP100116,Mohammadpur,Farmgate,Cancelled,CNG,4.6,No,15,5.62,279.21,4.4,1,Cash,81,2024-06-16,CUST1131,Repeated
TRIP100117,Gulshan,Bashundhara,Completed,Microbus,3.3,No,1,8.6,606.02,3.5,1,Card,40,2024-04-29,CUST1005,New
TRIP100118,Uttara,Motijheel,Completed,Bike,4.5,No,1,1.86,142.37,3.4,1,Cash,5,2024-03-25,CUST1164,Repeated
TRIP100119,Farmgate,Bashundhara,Completed,Microbus,3.2,No,7,11.05,380.6,3.8,1,Cash,13,2024-06-09,CUST1339,New
TRIP100120,Gulshan,Mirpur,Cancelled,Bike,3.7,No,4,2.42,980.87,4.6,1,Cash,6,2024-01-05,CUST1469,Repeated
TRIP100121,Motijheel,Mohammadpur,Completed,Car,4.1,Yes,10,2.44,504.49,4.9,4,Mobile Payment,65,2024-05-14,CUST1603,Repeated
TRIP100122,Banani,Bashundhara,Completed,Car,4.2,No,16,13.76,381.0,4.8,2,Cash,55,2024-06-03,CUST1219,Repeated
TRIP100123,Bashundhara,Farmgate,Completed,CNG,3.2,No,18,6.86,565.26,4.3,2,Card,78,2024-04-12,CUST1078,Repeated
TRIP100124,Dhanmondi,Bashundhara,Completed,CNG,4.7,No,2,22.82,490.84,3.9,2,Cash,49,2024-01-27,CUST1372,Repeated
TRIP100125,Banani,Banani,Completed,Microbus,3.3,Yes,19,16.85,415.54,4.3,1,Cash,13,2024-05-15,CUST1297,Repeated
TRIP100126,Farmgate,Dhanmondi,Completed,CNG,3.3,No,16,24.06,700.57,4.1,1,Cash,42,2024-02-20,CUST1260,Repeated
TRIP100127,Dhanmondi,Farmgate,Completed,Car,4.6,No,3,8.68,244.56,3.7,2,Card,24,2024-06-14,CUST1296,Repeated
TRIP100128,Mirpur,Dhanmondi,Cancelled,CNG,3.0,No,13,20.28,721.14,3.4,2,Card,28,2024-06-27,CUST1125,Repeated
TRIP100129,Gulshan,Uttara,Completed,Microbus,3.1,No,11,17.79,982.5,4.9,2,Cash,54,2024-05-29,CUST1548,Repeated
TRIP100130,Dhanmondi,Banani,Completed,CNG,4.3,No,9,12.16,199.53,3.6,1,Card,39,2024-01-13,CUST1042,New
TRIP100131,Mirpur,Mirpur,Completed,Car,3.7,No,10,17.17,955.86,4.8,1,Mobile Payment,54,2024-01-22,CUST1191,Repeated
TRIP100132,Uttara,Bashundhara,Completed,Microbus,4.7,No,1,20.52,84.91,3.6,1,Mobile Payment,22,2024-03-13,CUST1058,Repeated
TRIP100133,Motijheel,Dhanmondi,Completed,Microbus,3.6,No,7,13.81,731.88,3.8,3,Card,28,2024-02-12,CUST1284,Repeated
TRIP100134,Dhanmondi,Uttara,Completed,Bike,3.6,No,6,2.31,571.22,4.5,1,Cash,38,2024-06-11,CUST1133,Repeated
TRIP100135,Motijheel,Mohammadpur,Completed,Bike,3.8,No,17,7.71,742.86,3.6,1,Cash,15,2024-01-31,CUST1379,Repeated
TRIP100136,Gulshan,Mirpur,Completed,Microbus,3.9,No,14,23.41,718.94,4.1,2,Mobile Payment,55,2024-02-17,CUST1467,Repeated
TRIP100137,Uttara,Mohammadpur,Completed,Microbus,4.2,No,8,16.43,928.8,4.2,1,Cash,45,2024-02-17,CUST1609,Repeated
TRIP100138,Dhanmondi,Mirpur,Completed,Microbus,3.3,No,15,12.38,752.48,3.8,1,Mobile Payment,11,2024-05-04,CUST1023,Repeated
TRIP100139,Uttara,Motijheel,Completed,Microbus,3.7,No,7,8.72,613.52,4.3,1,Mobile Payment,89,2024-05-17,CUST1236,New
TRIP100140,Mirpur,Bashundhara,Completed,Microbus,4.4,Yes,7,16.61,514.39,4.6,1,Cash,60,2024-01-21,CUST1077,Repeated
TRIP100141,Bashundhara,Banani,Cancelled,Car,3.5,No,11,18.33,909.97,3.9,1,Card,72,2024-01-07,CUST1187,Repeated
TRIP100142,Dhanmondi,Bashundhara,Completed,Bike,4.6,No,1,15.83,689.59,3.6,1,Card,74,2024-05-12,CUST1131,Repeated
TRIP100143,Dhanmondi,Motijheel,Completed,Car,3.8,No,3,21.02,441.2,3.6,1,Mobile Payment,57,2024-05-03,CUST1312,Repeated
TRIP100144,Dhanmondi,Uttara,Completed,Car,3.4,No,16,6.86,860.39,4.2,2,Cash,32,2024-02-22,CUST1021,New
TRIP100145,Mirpur,Motijheel,Completed,CNG,4.6,Yes,16,24.93,403.04,4.0,3,Mobile Payment,74,2024-04-30,CUST1255,New
TRIP100146,Farmgate,Motijheel,Completed,Bike,3.7,Yes,4,15.76,215.42,4.0,1,Cash,52,2024-01-08,CUST1139,Repeated
TRIP100147,Dhanmondi,Mohammadpur,Completed,Microbus,3.0,No,18,1.12,840.35,3.9,1,Cash,75,2024-04-26,CUST1574,Repeated
TRIP100148,Uttara,Mohammadpur,Completed,CNG,4.9,No,16,7.95,484.68,4.9,4,Card,70,2024-03-03,CUST1363,New
TRIP100149,Mohammadpur,Farmgate,Completed,Car,4.6,No,16,20.67,807.48,3.2,4,Mobile Payment,41,2024-01-28,CUST1567,New
TRIP100150,Farmgate,Mohammadpur,Completed,Bike,4.2,No,13,22.57,733.38,4.3,1,Card,79,2024-05-31,CUST1608,Repeated
TRIP100151,Mohammadpur,Mirpur,Completed,CNG,4.6,No,17,8.38,646.42,4.7,1,Card,53,2024-04-20,CUST1277,Repeated
TRIP100152,Dhanmondi,Gulshan,Completed,Car,3.4,No,4,20.36,359.56,4.6,1,Cash,27,2024-06-01,CUST1036,Repeated
TRIP100153,Motijheel,Mirpur,Completed,Car,3.6,No,7,13.17,845.37,3.5,1,Cash,74,2024-05-11,CUST1226,New
TRIP100154,Farmgate,Uttara,No-show,CNG,4.3,Yes,8,7.21,74.12,4.7,2,Card,24,2024-02-26,CUST1141,Repeated
TRIP100155,Banani,Motijheel,Completed,Car,3.7,Yes,7,11.76,876.0,4.4,2,Mobile Payment,78,2024-06-15,CUST1296,Repeated
TRIP100156,Banani,Uttara,Completed,CNG,4.7,Yes,18,18.6,171.81,4.6,2,Card,11,2024-01-31,CUST1685,Repeated
TRIP100157,Dhanmondi,Banani,Completed,Microbus,4.4,No,7,3.34,304.94,4.4,1,Cash,86,2024-02-20,CUST1292,Repeated
TRIP100158,Bashundhara,Gulshan,Completed,Microbus,4.1,No,4,17.64,607.06,5.0,3,Card,88,2024-06-26,CUST1053,Repeated
TRIP100159,Banani,Bashundhara,Completed,Microbus,3.0,Yes,16,15.8,652.64,4.1,1,Card,21,2024-06-25,CUST1056,Repeated
TRIP100160,Uttara,Mirpur,No-show,Bike,3.1,No,15,3.7,340.5,4.2,2,Cash,29,2024-06-21,CUST1617,Repeated
TRIP100161,Dhanmondi,Mohammadpur,Completed,Bike,5.0,No,2,23.59,714.01,4.9,1,Mobile Payment,13,2024-01-19,CUST1104,Repeated
TRIP100162,Mirpur,Farmgate,Completed,Microbus,3.2,Yes,6,6.98,959.32,4.4,2,Card,66,2024-01-15,CUST1314,Repeated
TRIP100163,Uttara,Farmgate,Completed,Car,4.3,No,2,16.68,266.09,3.0,4,Mobile Payment,30,2024-02-24,CUST1696,New
TRIP100164,Dhanmondi,Motijheel,Cancelled,Microbus,4.7,No,13,1.36,414.21,3.4,2,Mobile Payment,7,2024-02-03,CUST1257,Repeated
TRIP100165,Banani,Mohammadpur,Completed,CNG,4.8,No,15,2.78,251.86,3.9,2,Mobile Payment,63,2024-02-03,CUST1511,New
TRIP100166,Bashundhara,Uttara,Completed,Microbus,3.8,Yes,1,18.24,757.23,4.3,1,Mobile Payment,86,2024-01-25,CUST1603,Repeated
TRIP100167,Mohammadpur,Gulshan,Completed,Car,4.8,No,10,2.29,512.68,3.3,1,Mobile Payment,83,2024-02-11,CUST1041,Repeated
TRIP100168,Motijheel,Bashundhara,Completed,Car,4.6,No,2,24.71,173.85,4.8,1,Cash,79,2024-01-27,CUST1571,Repeated
TRIP100169,Farmgate,Uttara,Completed,Bike,4.7,No,14,11.62,600.76,3.9,1,Cash,22,2024-02-22,CUST1565,Repeated
TRIP100170,Farmgate,Bashundhara,Completed,CNG,4.2,No,16,13.4,117.98,4.6,1,Card,13,2024-03-06,CUST1063,Repeated
TRIP100171,Uttara,Uttara,Completed,Microbus,3.9,No,18,5.46,270.28,4.8,1,Card,16,2024-05-07,CUST1063,Repeated
TRIP100172,Farmgate,Mirpur,Completed,Microbus,3.4,No,17,9.56,638.67,3.2,1,Mobile Payment,25,2024-02-26,CUST1378,Repeated
TRIP100173,Motijheel,Mirpur,Completed,CNG,4.7,Yes,1,2.63,606.53,4.4,1,Cash,88,2024-05-12,CUST1282,Repeated
TRIP100174,Farmgate,Banani,Completed,Car,4.7,Yes,1,21.69,829.2,4.1,3,Mobile Payment,9,2024-01-16,CUST1513,Repeated
TRIP100175,Mohammadpur,Mohammadpur,Completed,Microbus,3.3,No,1,17.47,318.67,3.7,2,Card,16,2024-03-21,CUST1058,Repeated
TRIP100176,Banani,Mohammadpur,Completed,CNG,4.9,No,14,10.11,898.75,3.7,2,Cash,80,2024-05-09,CUST1134,New
TRIP100177,Gulshan,Uttara,Completed,Car,3.1,No,9,22.48,236.22,3.9,2,Card,40,2024-01-05,CUST1117,Repeated
TRIP100178,Motijheel,Mirpur,Cancelled,Bike,3.0,Yes,14,14.2,847.02,4.4,1,Cash,85,2024-03-07,CUST1691,Repeated
TRIP100179,Banani,Mirpur,Completed,Microbus,3.1,No,7,7.27,656.41,4.0,2,Cash,68,2024-03-04,CUST1502,Repeated
TRIP100180,Motijheel,Farmgate,Completed,Car,3.1,No,7,12.78,566.74,4.0,1,Cash,54,2024-03-07,CUST1324,New
TRIP100181,Bashundhara,Mohammadpur,Completed,CNG,3.4,Yes,12,11.17,210.98,3.3,2,Mobile Payment,17,2024-05-18,CUST1616,Repeated
TRIP100182,Banani,Dhanmondi,Completed,Bike,3.4,No,19,16.6,634.48,4.1,1,Mobile Payment,25,2024-05-21,CUST1148,New
TRIP100183,Gulshan,Bashundhara,Cancelled,Microbus,4.4,No,14,7.51,680.69,4.9,2,Cash,27,2024-05-12,CUST1279,Repeated
